title,link,published,description,source,source sub-category,id
Ian Chappell: 'Load of rubbish to worry if a batter is left-handed or right-handed',https://www.espncricinfo.com/ci/content/story/1357643.html?ex_cid=OTC-RSS,"Wed, 08 Feb 2023 13:21:34","""It's only really a problem if the left-handers think, 'oh, hell. We've got to face Ashwin and he could get me out,'""",espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1357643.html
Winning a Test series in India is 'bigger than the Ashes' for Australia's stars,https://www.espncricinfo.com/ci/content/story/1357502.html?ex_cid=OTC-RSS,"Tue, 07 Feb 2023 05:46:52","Captain Pat Cummins says winning the upcoming Border Gavaskar Trophy would be an ""era-defining"" result",espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1357502.html
Women's Premier League to begin on March 4,https://www.espncricinfo.com/ci/content/story/1357479.html?ex_cid=OTC-RSS,"Tue, 14 Feb 2023 14:54:05",Final scheduled for March 26; all matches at Brabourne and DY Patil Stadium in Mumbai,espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1357479.html
Ravindra Jadeja 'hadn't felt the sun for about five months',https://www.espncricinfo.com/ci/content/story/1357472.html?ex_cid=OTC-RSS,"Mon, 06 Feb 2023 12:49:11",India spinner talks about his recovery from a serious knee injury last August that eventually needed surgery,espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1357472.html
Decision on Asia Cup venue postponed to March 2023,https://www.espncricinfo.com/ci/content/story/1357337.html?ex_cid=OTC-RSS,"Mon, 06 Feb 2023 08:22:45","Pakistan have the hosting rights as it stands, but the BCCI has said their team will be unable to travel there",espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1357337.html
WPL auction during T20 World Cup a 'distraction' but 'enormous step for women's cricket',https://www.espncricinfo.com/ci/content/story/1357314.html?ex_cid=OTC-RSS,"Mon, 06 Feb 2023 08:34:45","Sophie Devine, Harmanpreet Kaur, Meg Lanning and Heather Knight on how the players plan to deal with this ""awkward"" situation",espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1357314.html
Australia aware of reverse-swing threat amid spin talk,https://www.espncricinfo.com/ci/content/story/1357204.html?ex_cid=OTC-RSS,"Mon, 06 Feb 2023 08:34:42",Alex Carey said it will be down to each batter to find out the method and tempo which works best for them,espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1357204.html
Joginder Sharma announces retirement from all forms of cricket,https://www.espncricinfo.com/ci/content/story/1357097.html?ex_cid=OTC-RSS,"Mon, 06 Feb 2023 08:34:45","""I will be exploring new opportunities in the world of cricket and the business side of it,"" former India medium pacer says",espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1357097.html
Tryon fifty seals tri-series title for South Africa,https://www.espncricinfo.com/ci/content/story/1357034.html?ex_cid=OTC-RSS,"Thu, 02 Feb 2023 16:50:23",Calculative and magnificent 57 not out helps team chase down 110 on spin-friendly pitch,espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1357034.html
The Hardik Pandya evolution: 'I don't mind coming in and playing the MS Dhoni role',https://www.espncricinfo.com/ci/content/story/1356975.html?ex_cid=OTC-RSS,"Thu, 02 Feb 2023 07:17:40","India's stand-in T20I captain is looking to ""give my team and the other [batter] more calmness and the assurance that at least I'm there""",espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1356975.html
