2023-09-03 10:15:01,447: 'h'
2023-09-03 10:15:01,560: 'e'
2023-09-03 10:15:01,788: 'l'
2023-09-03 10:15:01,956: 'l'
2023-09-03 10:15:02,154: 'o'
2023-09-03 10:15:04,857: 'i'
2023-09-03 10:15:05,092: Key.space
2023-09-03 10:15:05,284: 'a'
2023-09-03 10:15:05,402: 'm'
2023-09-03 10:15:05,606: Key.space
2023-09-03 10:15:05,832: 'b'
2023-09-03 10:15:05,927: 'a'
2023-09-03 10:15:06,114: 'm'
2023-09-03 10:15:06,215: 'b'
2023-09-03 10:15:06,319: 'a'
2023-09-03 10:15:20,470: Key.ctrl_l
2023-09-03 10:15:20,643: '\x03'
2023-09-03 10:15:21,942: Key.ctrl_l
2023-09-03 10:15:22,109: '\x03'
2023-09-03 10:15:24,370: Key.ctrl_l
2023-09-03 10:15:24,520: '\x03'
